Rank,Team,Coefficient
1, Texas_A&M,44.1028893415771
2, Louisville,43.740603692366
3, Alabama,41.5277379061345
4, Clemson,39.3837359620975
5, Florida_St,37.2185630840759
6, Tennessee,37.0865282756788
7, Wisconsin,34.8658324756732
8, Nebraska,32.820200056807
9, Michigan,32.7860782294731
10, Mississippi,31.3081550323056
11, Stanford,30.7712655678538
12, Arizona_St,30.7382182373868
13, Baylor,30.6721751323506
14, Auburn,28.8801112278597
15, Florida,28.7703202967487
16, Iowa,28.7223310789007
17, Wake_Forest,28.7223310789007
18, Washington,28.7223310789007
19, Georgia,27.3288933833179
20, Georgia_Tech,26.8204762432987
21, Arkansas,26.7884862244028
22, Colorado,26.7884862244028
23, Oklahoma_St,26.7884862244028
24, Minnesota,26.7384421292793
25, Ohio_St,26.7384421292793
26, Utah,26.7384421292793
27, West_Virginia,26.7384421292793
28, Kentucky,24.8866313888009
29, California,24.8365872936774
30, Northwestern,24.8365872936774
31, Virginia_Tech,24.8365872936774
32, Kansas,24.8165497093337
33, Maryland,24.8165497093337
34, Miami_FL,24.8165497093337
35, NC_State,24.8165497093337
36, Purdue,24.8165497093337
37, Washington_St,24.8165497093337
38, LSU,23.0647557899427
39, TCU,22.9347324580754
40, Arizona,22.9146948737317
41, Indiana,22.9146948737317
42, Kansas_St,22.9146948737317
43, Michigan_St,22.9146948737317
44, Oklahoma,22.9146948737317
45, Oregon_St,22.9146948737317
46, Syracuse,22.9146948737317
47, Texas_Tech,22.9146948737317
48, North_Carolina,21.228944059377
49, Oregon,21.0328776224734
50, Rutgers,21.0128400381298
51, Texas,21.0128400381298
52, UCLA,21.0128400381298
53, Mississippi_St,19.181066881995
54, Duke,19.1109852025278
55, USC,19.1109852025278
56, Boston_College,17.2091303669258
57, Iowa_St,17.2091303669258
58, Virginia,17.2091303669258
59, Illinois,13.4054206957219
60, Missouri,13.4054206957219
61, Pittsburgh,11.5236034444636
62, South_Carolina,9.6217486088616
63, Penn_St,5.798001353314
64, Vanderbilt,1.99429168211006
